행정구,행정동,구역명,zoneNaturalKey,표본건수,예상초투_min(억),예상초투_max(억),예상초투_범위,P_min(억),P_max(억),P_범위,매매가_min(억),매매가_max(억),매매가_범위,기존_최소실투자금(억),기존_최대실투자금(억),기존_최소프리미엄,기존_최대프리미엄,기존_매매가,실투대비_이상,polygon안_건수,articleNos,승인,검수상태,검수메모,승인일,generatedAt,sourceMode,note
동작구,상도동,상도 15구역,동작구|상도동|상도 15구역,5,8,9.6,8~9.6억,,,,8,9.6,8~9.6억,6,7,,,,HIGH,5,2643869136|2644896211|2645140685|2643638275|2643665131,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
동작구,상도동,상도 16구역,동작구|상도동|상도 16구역,5,3.9,4,3.9~4억,,,,3.9,4,3.9~4억,2.3,4,,,,OK,5,2644137989|2639593782|2644702062|2641536026|2639942340,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
동작구,상도동,상도 21구역(모아타운),동작구|상도동|상도 21구역(모아타운),5,1.8,3.9,1.8~3.9억,,,,1.8,3.9,1.8~3.9억,4.5,5,,,,LOW,5,2644833271|2644621799|2642697624|2644137989|2639593782,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
마포구,염리동,염리 4구역,마포구|염리동|염리 4구역,5,10.65,23.5,10.65~23.5억,,,,13.5,24,13.5~24억,8.7,9.9,,,9.9~11,HIGH,0,2640290686|2645077637|2640288850|2642097798|2643149884,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
마포구,염리동,염리 5구역,마포구|염리동|염리 5구역,5,7.8,24.85,7.8~24.85억,,,,9.3,37,9.3~37억,9.5,10,,,,HIGH,0,2643396662|2643302070|2640222964|2640726512|2642103162,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
서대문구,북아현동,북아현 2구역,서대문구|북아현동|북아현 2구역,5,16.86,19,16.86~19억,15,15,15억,16.86,19,16.86~19억,14.3,16,,,,OK,5,2644358605|2639923172|2641302358|2640076741|2644597096,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
서대문구,북아현동,북아현 3구역,서대문구|북아현동|북아현 3구역,5,10.5,13.61,10.5~13.61억,10.4,12,10.4~12억,10.5,23.6,10.5~23.6억,10.5,11.5,,,,HIGH,5,2639879823|2641390187|2642911574|2640704860|2642000363,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
성동구,금호동3가,금호 21구역,성동구|금호동3가|금호 21구역,5,11.8,16.4,11.8~16.4억,,,,13,18,13~18억,13,14,,,,HIGH,3,2639985064|2639880171|2645199270|2644883239|2643563609,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
성북구,장위동,장위 14구역,성북구|장위동|장위 14구역,5,5.5,5.98,5.5~5.98억,,,,5.5,6.2,5.5~6.2억,3.8,5,,,,HIGH,5,2644986367|2645036914|2644443474|2643840065|2644509862,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
성북구,장위동,장위 15구역,성북구|장위동|장위 15구역,5,5.25,7.1,5.25~7.1억,,,,7,8,7~8억,4.5,6,,,,HIGH,5,2640923329|2644413712|2643794108|2644959504|2645168024,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
